 3	 3.5 
 4	 6.5 
 5	 9.5 
 6	 12.5 
 7	 15.5 
 8	 18.5 
 9	 21.5 
 10	 24.5 
 11	 27.5 
 12	 30.5 
 13	 33.5 
 14	 36.5 
 15	 39.5 
 16	 42.5 
 17	 45.5 
 18	 48.5 
 19	 51.5 
 20	 54.5 
 21	 57.5 
 22	 60.5 
 23	 63.5 
 24	 66.5 
 25	 69.5 
 26	 72.5 
 27	 75.5 
 28	 78.5 
 29	 81.5 
 30	 84.5 
 31	 87.5 
 32	 90.5 
 33	 93.5 
 34	 96.5 
 35	 99.5 
 36	 102.5 
 37	 105.5 
 38	 108.5 
 39	 111.5 
 40	 114.5 
 41	 117.5 
 42	 120.5 
 43	 123.5 
 44	 126.5 
 45	 129.5 
 46	 132.5 
 47	 135.5 
 48	 138.5 
 49	 141.5 
 50	 144.5 
 51	 147.5 
 52	 150.5 
 53	 153.5 
 54	 156.5 
 55	 159.5 
 56	 162.5 
 57	 165.5 
 58	 168.5 
 59	 171.5 
 60	 174.5 
 61	 177.5 
 62	 180.5 
 63	 183.5 
 64	 186.5 
 65	 189.5 
 66	 192.5 
 67	 195.5 
 68	 198.5 
 69	 201.5 
 70	 204.5 
 71	 207.5 
 72	 210.5 
 73	 213.5 
 74	 216.5 
 75	 219.5 
 76	 222.5 
 77	 225.5 
 78	 228.5 
 79	 231.5 
 80	 234.5 
 81	 237.5 
 82	 240.5 
 83	 243.5 
 84	 246.5 
 85	 249.5 
 86	 252.5 
 87	 255.5 
 88	 258.5 
 89	 261.5 
 90	 264.5 
 91	 267.5 
 92	 270.5 
 93	 273.5 
 94	 276.5 
 95	 279.5 
 96	 282.5 
 97	 285.5 
 98	 288.5 
 99	 291.5 
 100	 294.5 
 101	 297.5 
 102	 300.5 
